X     II     Red     II     Green     II     B     II     InTensity
230     II     53     II     49     II     74     II     59
231     II     53     II     49     II     74     II     59
232     II     51     II     49     II     73     II     58
233     II     51     II     49     II     71     II     57
234     II     51     II     49     II     73     II     58
235     II     51     II     49     II     71     II     57
236     II     49     II     50     II     71     II     57
237     II     50     II     51     II     72     II     58
238     II     50     II     51     II     72     II     58
239     II     50     II     51     II     72     II     58
240     II     51     II     52     II     72     II     58
241     II     50     II     51     II     71     II     57
242     II     49     II     50     II     70     II     56
243     II     48     II     49     II     70     II     56
244     II     48     II     49     II     70     II     56
245     II     48     II     49     II     70     II     56
246     II     47     II     49     II     70     II     55
247     II     47     II     50     II     69     II     55
248     II     46     II     49     II     68     II     54
249     II     46     II     49     II     66     II     54
250     II     47     II     50     II     67     II     55
251     II     48     II     51     II     66     II     55
252     II     48     II     52     II     64     II     55
253     II     47     II     51     II     62     II     53
254     II     45     II     52     II     60     II     52
255     II     45     II     52     II     62     II     53
256     II     51     II     54     II     69     II     58
257     II     49     II     52     II     69     II     57
258     II     50     II     53     II     70     II     58
259     II     51     II     54     II     71     II     59
260     II     51     II     54     II     71     II     59
261     II     49     II     52     II     69     II     57
262     II     48     II     51     II     68     II     56
263     II     49     II     52     II     67     II     56
264     II     48     II     51     II     66     II     55
265     II     47     II     51     II     63     II     54
266     II     48     II     50     II     63     II     54
267     II     48     II     50     II     63     II     54
268     II     50     II     50     II     62     II     54
269     II     50     II     50     II     62     II     54
270     II     50     II     50     II     62     II     54
271     II     51     II     51     II     61     II     54
272     II     50     II     53     II     62     II     55
273     II     49     II     54     II     60     II     54
274     II     49     II     54     II     58     II     54
275     II     49     II     54     II     58     II     54
276     II     49     II     54     II     57     II     53
277     II     49     II     54     II     57     II     53
278     II     50     II     55     II     58     II     54
279     II     50     II     55     II     58     II     54
280     II     48     II     52     II     53     II     51
281     II     47     II     51     II     52     II     50
282     II     49     II     50     II     54     II     51
283     II     48     II     49     II     53     II     50
284     II     49     II     48     II     53     II     50
285     II     50     II     49     II     54     II     51
286     II     50     II     49     II     54     II     51
287     II     51     II     50     II     55     II     52
288     II     52     II     51     II     56     II     53
289     II     51     II     50     II     55     II     52
290     II     50     II     49     II     54     II     51
291     II     49     II     50     II     54     II     51
292     II     48     II     49     II     53     II     50
293     II     47     II     51     II     54     II     51
294     II     47     II     51     II     54     II     51
295     II     47     II     52     II     55     II     51
296     II     44     II     49     II     52     II     48
297     II     43     II     52     II     51     II     49
298     II     43     II     52     II     51     II     49
299     II     44     II     53     II     52     II     50
300     II     45     II     54     II     53     II     51
301     II     45     II     54     II     53     II     51
302     II     47     II     53     II     53     II     51
303     II     47     II     53     II     53     II     51
304     II     45     II     54     II     51     II     50
305     II     46     II     55     II     50     II     50
306     II     47     II     56     II     51     II     51
307     II     46     II     55     II     50     II     50
308     II     46     II     55     II     50     II     50
309     II     47     II     56     II     51     II     51
310     II     47     II     57     II     49     II     51
311     II     45     II     55     II     47     II     49
312     II     46     II     56     II     48     II     50
313     II     47     II     57     II     48     II     51
314     II     47     II     57     II     48     II     51
315     II     48     II     58     II     47     II     51
316     II     48     II     58     II     47     II     51
317     II     48     II     58     II     47     II     51
318     II     48     II     58     II     47     II     51
319     II     48     II     58     II     47     II     51
320     II     48     II     58     II     47     II     51
321     II     48     II     58     II     47     II     51
322     II     47     II     57     II     46     II     50
323     II     47     II     57     II     46     II     50
324     II     47     II     58     II     44     II     50
325     II     47     II     58     II     44     II     50
326     II     47     II     59     II     45     II     50
327     II     47     II     59     II     45     II     50
